epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4316,1.69373,0.9808,0.87278,0.33165,0.10657,0.19842,0.09069,2.37492,5.3357,0.92412,0.000553919,0.000553919,0.000553919
2,49.8175,1.69026,0.97415,0.8697,0.40411,0.29339,0.26411,0.12915,2.1744,2.52323,0.94366,0.0010986,0.0010986,0.0010986
3,73.1545,1.70221,0.98437,0.87151,0.41338,0.26024,0.25979,0.11996,2.43302,2.13822,0.9805,0.00163228,0.00163228,0.00163228
4,96.8526,1.75111,1.0156,0.88051,0.51578,0.25422,0.31072,0.15634,2.06561,2.12691,0.93409,0.00161749,0.00161749,0.00161749
5,119.183,1.78249,1.05094,0.8809,0.3603,0.31479,0.26323,0.11432,2.34321,2.72738,0.96779,0.00160099,0.00160099,0.00160099
6,141.229,1.77221,1.03508,0.88122,0.35263,0.27675,0.2162,0.06938,2.871,1.98714,1.02004,0.00158448,0.00158448,0.00158448
7,162.308,1.77405,1.03387,0.88119,0.38779,0.283,0.25511,0.13392,2.13892,2.50566,0.964,0.00156798,0.00156798,0.00156798
8,184.72,1.76209,1.02683,0.87823,0.40494,0.20169,0.23188,0.09225,2.42105,2.18426,0.96585,0.00155148,0.00155148,0.00155148
9,206.892,1.7618,1.02379,0.87977,0.32659,0.34021,0.27302,0.13377,2.05282,2.82105,0.91454,0.00153497,0.00153497,0.00153497
10,228.591,1.74232,1.00766,0.87898,0.4554,0.2436,0.20104,0.06309,2.87892,1.90981,1.04669,0.00151847,0.00151847,0.00151847
11,249.742,1.75092,1.00787,0.88266,0.17525,0.29079,0.18088,0.09278,2.36109,3.91991,0.96173,0.00150197,0.00150197,0.00150197
12,272.19,1.74257,1.00866,0.87493,0.41667,0.30975,0.28365,0.14166,2.11872,2.47885,0.94211,0.00148546,0.00148546,0.00148546
13,294.518,1.7366,0.9981,0.87532,0.40466,0.31722,0.2771,0.11664,2.39994,1.98949,0.95373,0.00146896,0.00146896,0.00146896
14,317.96,1.73464,0.98403,0.87694,0.21962,0.23302,0.11099,0.03073,3.50544,2.30174,1.1328,0.00145246,0.00145246,0.00145246
15,340.318,1.73022,0.98882,0.87849,0.25086,0.24081,0.19518,0.10822,2.1993,4.1441,0.94546,0.00143595,0.00143595,0.00143595
16,362.012,1.72549,0.97891,0.87393,0.39295,0.29211,0.27101,0.13732,2.07812,2.68731,0.92373,0.00141945,0.00141945,0.00141945
17,383.629,1.71102,0.97865,0.87319,0.51498,0.31418,0.36725,0.1685,2.29661,1.9722,0.94283,0.00140295,0.00140295,0.00140295
18,404.992,1.71337,0.96025,0.87727,0.31599,0.22343,0.23096,0.12703,1.99201,4.39423,0.90252,0.00138644,0.00138644,0.00138644
19,427.078,1.6956,0.96737,0.87347,0.42416,0.29211,0.32686,0.14518,2.22951,1.78942,0.94817,0.00136994,0.00136994,0.00136994
20,448.562,1.69314,0.96152,0.87133,0.70521,0.50231,0.55934,0.26541,1.796,1.05329,0.87207,0.00135344,0.00135344,0.00135344
21,470.127,1.68802,0.95883,0.8741,0.39823,0.28428,0.2549,0.1205,2.30779,2.81531,0.9439,0.00133693,0.00133693,0.00133693
22,491.776,1.68815,0.95676,0.8707,0.42043,0.27132,0.25118,0.13067,2.15818,2.66059,0.94557,0.00132043,0.00132043,0.00132043
23,512.797,1.7006,0.95619,0.87598,0.22292,0.23476,0.18406,0.10064,2.00127,3.22019,0.91427,0.00130393,0.00130393,0.00130393
24,534.176,1.68403,0.9465,0.86899,0.25277,0.32644,0.24376,0.13378,2.11455,3.53759,0.93125,0.00128742,0.00128742,0.00128742
25,555.262,1.676,0.94284,0.87146,0.24471,0.38091,0.2374,0.10622,2.46266,3.607,0.98462,0.00127092,0.00127092,0.00127092
26,576.343,1.67316,0.94492,0.87301,0.219,0.35645,0.24844,0.13189,2.16613,3.29017,0.9356,0.00125442,0.00125442,0.00125442
27,596.767,1.66295,0.93277,0.86786,0.35519,0.29955,0.26245,0.11066,2.46846,2.75448,0.97781,0.00123791,0.00123791,0.00123791
28,617.67,1.6543,0.91842,0.87023,0.44873,0.28946,0.32527,0.16891,2.02594,2.06656,0.92507,0.00122141,0.00122141,0.00122141
29,639.597,1.64826,0.91831,0.86687,0.23653,0.21028,0.14903,0.04409,3.48739,2.03677,1.15074,0.00120491,0.00120491,0.00120491
30,660.544,1.6419,0.92177,0.86268,0.24912,0.31557,0.2466,0.12469,2.17693,2.8133,0.93845,0.0011884,0.0011884,0.0011884
31,682.514,1.62552,0.89641,0.86438,0.27295,0.26082,0.22843,0.12589,2.14954,4.00725,0.94222,0.0011719,0.0011719,0.0011719
32,704.127,1.64327,0.90812,0.86752,0.29178,0.24904,0.23376,0.12006,2.1725,4.21506,0.93514,0.0011554,0.0011554,0.0011554
33,726.251,1.63559,0.90428,0.86305,0.40994,0.31232,0.28492,0.14193,2.09665,2.66443,0.91502,0.00113889,0.00113889,0.00113889
34,747.008,1.65348,0.91429,0.86583,0.29996,0.15342,0.19909,0.11248,2.03456,4.06968,0.88736,0.00112239,0.00112239,0.00112239
35,768.425,1.62488,0.89595,0.86455,0.32855,0.17554,0.17309,0.05065,3.40458,2.19751,1.14865,0.00110589,0.00110589,0.00110589
36,789.639,1.62988,0.89795,0.86769,0.29926,0.26818,0.24201,0.12975,2.08724,3.71533,0.9226,0.00108938,0.00108938,0.00108938
37,810.766,1.62351,0.89313,0.86397,0.29282,0.27089,0.18575,0.07063,2.99539,2.89531,1.02968,0.00107288,0.00107288,0.00107288
38,832.012,1.62728,0.89365,0.86418,0.27005,0.32905,0.24049,0.1291,2.10167,3.78504,0.93163,0.00105638,0.00105638,0.00105638
39,852.949,1.62214,0.8952,0.86125,0.25556,0.29133,0.21518,0.11542,2.22486,3.93638,0.94163,0.00103987,0.00103987,0.00103987
40,873.885,1.62102,0.88516,0.86538,0.27681,0.38686,0.27251,0.13308,2.33836,3.36567,0.943,0.00102337,0.00102337,0.00102337
41,894.427,1.61281,0.88623,0.86286,0.50986,0.29467,0.37272,0.1717,2.22187,2.12691,0.93112,0.00100687,0.00100687,0.00100687
42,915.972,1.59498,0.87065,0.86249,0.36229,0.32514,0.28563,0.13244,2.39852,2.47733,0.96168,0.000990365,0.000990365,0.000990365
43,937.398,1.61186,0.87986,0.86377,0.194,0.16371,0.08545,0.02206,3.70892,1.84436,1.22404,0.000973861,0.000973861,0.000973861
44,958.294,1.58874,0.86501,0.85923,0.16275,0.13738,0.08183,0.02327,3.90532,2.10267,1.29184,0.000957358,0.000957358,0.000957358
45,979.434,1.59079,0.86504,0.86185,0.2478,0.46341,0.27502,0.1281,2.24121,3.33109,0.93977,0.000940855,0.000940855,0.000940855
46,1000.67,1.58895,0.86746,0.8574,0.38022,0.2683,0.25987,0.14457,2.01416,4.3937,0.89695,0.000924352,0.000924352,0.000924352
47,1021.85,1.5786,0.85655,0.85928,0.22038,0.22471,0.12128,0.03829,3.4823,2.10505,1.16588,0.000907848,0.000907848,0.000907848
48,1043.22,1.5821,0.84695,0.86172,0.28445,0.28521,0.23241,0.12242,2.01603,4.12798,0.90482,0.000891345,0.000891345,0.000891345
49,1064.92,1.57494,0.86318,0.85809,0.37861,0.3823,0.32599,0.14825,2.28174,2.29376,0.95659,0.000874842,0.000874842,0.000874842
50,1086.41,1.56626,0.85948,0.85783,0.2413,0.22082,0.12811,0.0382,3.49934,2.54257,1.16592,0.000858338,0.000858338,0.000858338
51,1108.24,1.57106,0.85199,0.8578,0.34094,0.29849,0.28159,0.13062,2.27422,1.90964,0.96233,0.000841835,0.000841835,0.000841835
52,1129.39,1.56362,0.84328,0.85849,0.31289,0.15204,0.09969,0.02464,3.71451,2.00562,1.2316,0.000825332,0.000825332,0.000825332
53,1150.09,1.55771,0.84525,0.85702,0.34774,0.30461,0.26872,0.10096,2.75553,2.02295,1.01687,0.000808828,0.000808828,0.000808828
